,a1,a2,n,seed,w1,w2
Bryan.DualMarkovAgent1_vs_Bryan.DualMarkovAgent1.txt,Bryan.DualMarkovAgent1,Bryan.DualMarkovAgent1,1000000,1460005228,399999,400000
Bryan.DualMarkovAgent1_vs_Bryan.MarkovAgent1.txt,Bryan.DualMarkovAgent1,Bryan.MarkovAgent1,1000000,49,34,42
Bryan.DualMarkovAgent1_vs_Bryan.MarkovAgent2.txt,Bryan.DualMarkovAgent1,Bryan.MarkovAgent2,1000000,17,2519,994907
Bryan.DualMarkovAgent1_vs_Bryan.SelfMarkovAgent1.txt,Bryan.DualMarkovAgent1,Bryan.SelfMarkovAgent1,1000000,133,3,1
Bryan.DualMarkovAgent1_vs_Bryan.SelfMarkovAgent2.txt,Bryan.DualMarkovAgent1,Bryan.SelfMarkovAgent2,1000000,126,307188,353516
Bryan.DualMarkovAgent1_vs_CounterAgent.txt,Bryan.DualMarkovAgent1,CounterAgent,1000000,146,999998,1
Bryan.DualMarkovAgent1_vs_DEAgent.txt,Bryan.DualMarkovAgent1,DEAgent,1000000,1460051347,999994,3
Bryan.DualMarkovAgent1_vs_MirrorAgent.txt,Bryan.DualMarkovAgent1,MirrorAgent,1000000,34,999997,3
Bryan.DualMarkovAgent1_vs_MyAgent.txt,Bryan.DualMarkovAgent1,MyAgent,1000000,1460051536,999989,5
Bryan.DualMarkovAgent1_vs_NashAgent.txt,Bryan.DualMarkovAgent1,NashAgent,1000000,135,333731,333773
Bryan.DualMarkovAgent1_vs_ScaredyAgent.txt,Bryan.DualMarkovAgent1,ScaredyAgent,1000000,49,571189,214509
Bryan.DualMarkovAgent1_vs_StubbornAgent.txt,Bryan.DualMarkovAgent1,StubbornAgent,1000000,176,999998,1
Bryan.MarkovAgent1_vs_Bryan.MarkovAgent1.txt,Bryan.MarkovAgent1,Bryan.MarkovAgent1,1000000,7,358975,320517
Bryan.MarkovAgent1_vs_Bryan.MarkovAgent2.txt,Bryan.MarkovAgent1,Bryan.MarkovAgent2,1000000,82,333245,334085
Bryan.MarkovAgent1_vs_Bryan.SelfMarkovAgent1.txt,Bryan.MarkovAgent1,Bryan.SelfMarkovAgent1,1000000,37,166667,166667
Bryan.MarkovAgent1_vs_Bryan.SelfMarkovAgent2.txt,Bryan.MarkovAgent1,Bryan.SelfMarkovAgent2,1000000,174,222221,555555
Bryan.MarkovAgent1_vs_CounterAgent.txt,Bryan.MarkovAgent1,CounterAgent,1000000,205,307691,346156
Bryan.MarkovAgent1_vs_DEAgent.txt,Bryan.MarkovAgent1,DEAgent,1000000,132,999994,1
Bryan.MarkovAgent1_vs_MirrorAgent.txt,Bryan.MarkovAgent1,MirrorAgent,1000000,111,307693,346157
Bryan.MarkovAgent1_vs_MyAgent.txt,Bryan.MarkovAgent1,MyAgent,1000000,105,307698,346149
